AAAA-MM-DD HH-MM-SS.ssssss	Value
2017-04-19 21:26:25.504699	2894
2017-04-19 21:26:25.508048	2896
2017-04-19 21:26:25.508562	2896
2017-04-19 21:26:25.509363	2895
2017-04-19 21:26:25.509866	2896
2017-04-19 21:26:25.512041	2894
2017-04-19 21:26:25.512723	2897
2017-04-19 21:26:25.513269	2894
2017-04-19 21:26:25.513793	2896
2017-04-19 21:26:25.515523	2895
2017-04-19 21:26:26.015467	2897
2017-04-19 21:26:26.015822	2900
2017-04-19 21:26:26.016026	2896
2017-04-19 21:26:26.019439	2896
2017-04-19 21:26:26.019782	2897
2017-04-19 21:26:26.519397	2895
2017-04-19 21:26:26.519976	2894
2017-04-19 21:26:26.523568	2894
2017-04-19 21:26:26.524177	2893
2017-04-19 21:26:26.524571	2895
2017-04-19 21:26:26.524911	2894
2017-04-19 21:26:26.527710	2897
2017-04-19 21:26:26.528278	2897
2017-04-19 21:26:26.528591	2897
2017-04-19 21:26:26.528830	2895
2017-04-19 21:26:26.531411	2891
2017-04-19 21:26:26.531761	2893
2017-04-19 21:26:26.532031	2894
2017-04-19 21:26:26.532292	2896
2017-04-19 21:26:26.532544	2896
2017-04-19 21:26:26.535660	2897
2017-04-19 21:26:26.535917	2896
2017-04-19 21:26:26.536116	2898
2017-04-19 21:26:26.536311	2897
2017-04-19 21:26:26.539781	2897
2017-04-19 21:26:26.540026	2897
2017-04-19 21:26:26.540275	2895
2017-04-19 21:26:26.540498	2898
2017-04-19 21:26:26.543879	2897
2017-04-19 21:26:26.544153	2892
2017-04-19 21:26:26.544348	2895
2017-04-19 21:26:26.544547	2894
2017-04-19 21:26:26.544742	2895
2017-04-19 21:26:26.547930	2895
2017-04-19 21:26:26.548281	2895
2017-04-19 21:26:26.548492	2896
2017-04-19 21:26:26.548671	2895
2017-04-19 21:26:26.552000	2896
2017-04-19 21:26:26.552223	2895
2017-04-19 21:26:26.552398	2895
2017-04-19 21:26:26.552566	2898
2017-04-19 21:26:26.555893	2896
2017-04-19 21:26:26.556103	2895
2017-04-19 21:26:27.055984	2895
2017-04-19 21:26:27.056351	2895
2017-04-19 21:26:27.060128	2896
2017-04-19 21:26:27.060479	2895
2017-04-19 21:26:27.060782	2897
2017-04-19 21:26:27.061048	2896
2017-04-19 21:26:27.063977	2896
