AAAA-MM-DD HH-MM-SS.ssssss	Xac	Yac	Zac	Xgi	Ygi	Zgi	Xma	Yma	Zma	Wq	Iq	Jq	Kq	
2016-08-11 08:47:52.785556	340	12220	-11022	10	3	-26	0	0	0	0.40	0.91	-0.09	-0.03
2016-08-11 08:47:52.801739	322	12238	-10968	6	1	-26	0	0	0	0.40	0.91	-0.09	-0.03
2016-08-11 08:47:52.814077	368	12250	-11284	20	0	-25	0	0	0	0.40	0.91	-0.09	-0.03
2016-08-11 08:47:52.830394	346	12224	-11272	18	-1	-24	0	0	0	0.40	0.91	-0.09	-0.03
2016-08-11 08:47:52.842890	378	12180	-11004	12	1	-26	0	0	0	0.40	0.91	-0.09	-0.03
2016-08-11 08:47:52.859041	314	12268	-11030	5	3	-27	0	0	0	0.40	0.91	-0.09	-0.03
2016-08-11 08:47:52.871534	306	12226	-11238	19	-2	-23	0	0	0	0.40	0.91	-0.09	-0.03
2016-08-11 08:47:52.887750	328	12214	-11024	10	2	-24	0	0	0	0.40	0.91	-0.09	-0.03
2016-08-11 08:47:52.900206	340	12240	-11000	7	0	-29	0	0	0	0.40	0.91	-0.09	-0.03
2016-08-11 08:47:52.916489	328	12230	-11232	20	-2	-26	0	0	0	0.40	0.91	-0.09	-0.03
2016-08-11 08:47:52.928811	344	12196	-11002	7	5	-22	0	0	0	0.40	0.91	-0.09	-0.03
2016-08-11 08:47:52.945025	336	12216	-11086	12	3	-24	0	0	0	0.40	0.91	-0.09	-0.03
2016-08-11 08:47:52.957461	356	12242	-11036	5	2	-27	0	0	0	0.40	0.91	-0.09	-0.03
2016-08-11 08:47:52.973730	346	12242	-11240	19	-4	-26	0	0	0	0.40	0.91	-0.09	-0.03
2016-08-11 08:47:52.986172	312	12228	-11010	10	4	-25	0	0	0	0.40	0.91	-0.09	-0.03
2016-08-11 08:47:53.002361	384	12214	-11038	7	2	-23	0	0	0	0.40	0.91	-0.09	-0.03
2016-08-11 08:47:53.014829	318	12222	-11248	18	-3	-25	0	0	0	0.40	0.91	-0.09	-0.03
2016-08-11 08:47:53.030983	400	12194	-10990	6	2	-27	0	0	0	0.40	0.91	-0.09	-0.03
2016-08-11 08:47:53.043360	368	12220	-11038	11	2	-28	0	0	0	0.40	0.91	-0.09	-0.03
2016-08-11 08:47:53.055721	380	12240	-10962	5	3	-26	0	0	0	0.40	0.91	-0.09	-0.03
2016-08-11 08:47:53.072059	358	12244	-11244	20	-2	-23	0	0	0	0.40	0.91	-0.09	-0.03
2016-08-11 08:47:53.088266	368	12210	-10998	10	5	-22	0	0	0	0.40	0.91	-0.09	-0.03
2016-08-11 08:47:53.100865	344	12214	-10996	8	-1	-26	0	0	0	0.40	0.91	-0.09	-0.03
2016-08-11 08:47:53.117080	322	12228	-11198	19	-2	-28	0	0	0	0.40	0.91	-0.09	-0.03
2016-08-11 08:47:53.129354	352	12228	-10958	6	4	-24	0	0	0	0.40	0.91	-0.09	-0.03
2016-08-11 08:47:53.145699	326	12224	-11056	12	3	-23	0	0	0	0.40	0.91	-0.09	-0.03
2016-08-11 08:47:53.158101	352	12232	-10904	5	2	-24	0	0	0	0.40	0.91	-0.09	-0.03
2016-08-11 08:47:53.174300	300	12254	-11262	20	-4	-27	0	0	0	0.40	0.91	-0.09	-0.03
2016-08-11 08:47:53.186741	350	12226	-11048	9	4	-27	0	0	0	0.40	0.91	-0.09	-0.03
2016-08-11 08:47:53.199121	316	12228	-10994	7	1	-23	0	0	0	0.40	0.91	-0.09	-0.03
2016-08-11 08:47:53.215313	324	12260	-11284	20	-2	-24	0	0	0	0.40	0.91	-0.09	-0.03
2016-08-11 08:47:53.228165	328	12236	-11180	18	-2	-26	0	0	0	0.40	0.91	-0.09	-0.03
2016-08-11 08:47:53.244128	310	12216	-11040	10	2	-29	0	0	0	0.40	0.91	-0.09	-0.03
2016-08-11 08:47:53.256485	342	12242	-11020	7	2	-26	0	0	0	0.40	0.91	-0.09	-0.03
2016-08-11 08:47:53.272775	370	12212	-11224	19	-2	-24	0	0	0	0.40	0.91	-0.09	-0.03
2016-08-11 08:47:53.285132	302	12242	-11044	8	5	-23	0	0	0	0.40	0.91	-0.08	-0.03
2016-08-11 08:47:53.301477	360	12198	-11048	9	0	-27	0	0	0	0.40	0.91	-0.08	-0.03
2016-08-11 08:47:53.313888	356	12224	-11204	19	-2	-29	0	0	0	0.40	0.91	-0.08	-0.03
2016-08-11 08:47:53.330156	362	12242	-11068	7	4	-24	0	0	0	0.40	0.91	-0.08	-0.03
2016-08-11 08:47:53.342472	360	12252	-11008	11	5	-22	0	0	0	0.40	0.91	-0.08	-0.03
2016-08-11 08:47:53.358636	350	12230	-10996	6	0	-24	0	0	0	0.40	0.91	-0.08	-0.03
2016-08-11 08:47:53.371104	344	12198	-11248	19	-1	-28	0	0	0	0.40	0.91	-0.08	-0.03
2016-08-11 08:47:53.387339	310	12210	-11030	6	2	-26	0	0	0	0.40	0.91	-0.08	-0.03
2016-08-11 08:47:53.399747	302	12230	-11056	10	1	-24	0	0	0	0.40	0.91	-0.08	-0.03
2016-08-11 08:47:53.416059	304	12242	-11246	20	-1	-22	0	0	0	0.40	0.91	-0.08	-0.03
2016-08-11 08:47:53.428494	342	12200	-10918	5	3	-29	0	0	0	0.40	0.91	-0.08	-0.03
2016-08-11 08:47:53.444777	334	12188	-10984	10	3	-29	0	0	0	0.40	0.91	-0.08	-0.03
2016-08-11 08:47:53.457125	328	12276	-11004	6	2	-24	0	0	0	0.40	0.91	-0.08	-0.03
2016-08-11 08:47:53.473377	364	12286	-11254	20	0	-23	0	0	0	0.40	0.91	-0.08	-0.03
2016-08-11 08:47:53.485796	300	12232	-10982	8	1	-28	0	0	0	0.40	0.91	-0.08	-0.03
2016-08-11 08:47:53.502103	350	12270	-11070	10	0	-30	0	0	0	0.40	0.91	-0.08	-0.03
2016-08-11 08:47:53.514497	318	12240	-11246	20	-1	-23	0	0	0	0.40	0.91	-0.08	-0.03
2016-08-11 08:47:53.530689	302	12234	-11290	20	-2	-23	0	0	0	0.40	0.91	-0.08	-0.03
2016-08-11 08:47:53.543114	388	12192	-11074	8	3	-24	0	0	0	0.40	-0.72	0.53	0.82
2016-08-11 08:47:53.547189	FIFO overflow!
2016-08-11 08:47:53.563466	318	12180	-11100	17	-1	-30	0	0	0	0.40	0.91	-0.08	-0.03
2016-08-11 08:47:53.576023	342	12144	-10964	3	1	-29	0	0	0	0.40	0.91	-0.08	-0.03
2016-08-11 08:47:53.592138	350	12176	-11068	13	0	-29	0	0	0	0.40	0.91	-0.08	-0.03
2016-08-11 08:47:53.604625	302	12280	-11270	19	8	-15	0	0	0	0.40	0.91	-0.08	-0.03
2016-08-11 08:47:53.620797	334	12138	-11202	18	-1	-13	0	0	0	0.40	0.91	-0.08	-0.03
2016-08-11 08:47:53.633205	354	12192	-10956	4	-1	-40	0	0	0	0.40	0.91	-0.08	-0.03
2016-08-11 08:47:53.649445	318	12362	-11174	13	6	-26	0	0	0	0.40	0.91	-0.08	-0.03
2016-08-11 08:47:53.661841	366	12242	-11190	18	2	-6	0	0	0	0.40	0.91	-0.08	-0.03
2016-08-11 08:47:53.678085	406	12214	-10962	4	-1	-28	0	0	0	0.40	0.91	-0.08	-0.03
